circuit_name,description,ref_des,component_kind,component_type,component_value,component_value_type,pin_name,net_name
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,V1,source,voltage,9,v,POS,NET_VCC
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,V1,source,voltage,9,v,NEG,NET_GND
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,R1,primitive,resistor,50000,ohmic,A,NET_VCC
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,R1,primitive,resistor,50000,ohmic,B,NET_GATE
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,R2,primitive,resistor,5000,ohmic,A,NET_GATE
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,R2,primitive,resistor,5000,ohmic,B,NET_GND
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,Q1,primitive,mosfet,,,GATE,NET_GATE
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,Q1,primitive,mosfet,,,DRAIN,NET_DRAIN
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,Q1,primitive,mosfet,,,SOURCE,NET_GND
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,R3,primitive,resistor,1000,ohmic,A,NET_VCC
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,R3,primitive,resistor,1000,ohmic,B,NET_R3_B_TO_D1_ANODE
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,D1,primitive,led,,,ANODE,NET_R3_B_TO_D1_ANODE
ldr_voltage_divider_mosfet_led_control,ldr voltage divider mosfet led control,D1,primitive,led,,,CATHODE,NET_DRAIN
relay_coil_drive_with_flyback_and_indicator,relay coil drive with flyback and indicator,V1,source,voltage,9,v,POS,NET_VCC
relay_coil_drive_with_flyback_and_indicator,relay coil drive with flyback and indicator,V1,source,voltage,9,v,NEG,NET_GND
relay_coil_drive_with_flyback_and_indicator,relay coil drive with flyback and indicator,SW1,primitive,switch,,,A,NET_VCC
relay_coil_drive_with_flyback_and_indicator,relay coil drive with flyback and indicator,SW1,primitive,switch,,,B,NET_COIL_POS
relay_coil_drive_with_flyback_and_indicator,relay coil drive with flyback and indicator,K1,part,relay,9,v,COIL_A1,NET_COIL_POS
relay_coil_drive_with_flyback_and_indicator,relay coil drive with flyback and indicator,K1,part,relay,9,v,COIL_A2,NET_GND
relay_coil_drive_with_flyback_and_indicator,relay coil drive with flyback and indicator,D2,primitive,diode,,,ANODE,NET_GND
relay_coil_drive_with_flyback_and_indicator,relay coil drive with flyback and indicator,D2,primitive,diode,,,CATHODE,NET_COIL_POS
relay_coil_drive_with_flyback_and_indicator,relay coil drive with flyback and indicator,R1,primitive,resistor,1000,ohmic,A,NET_VCC
relay_coil_drive_with_flyback_and_indicator,relay coil drive with flyback and indicator,R1,primitive,resistor,1000,ohmic,B,NET_R1_B_TO_D1_ANODE
relay_coil_drive_with_flyback_and_indicator,relay coil drive with flyback and indicator,D1,primitive,led,,,ANODE,NET_R1_B_TO_D1_ANODE
